,FQ1,FQ2,ID,LB,SM,PL,RUN
MMP-D0A7EAC_1-ED3017,MMP-D0A7EAC_1-ED3017-paired-1.fq.gz,MMP-D0A7EAC_1-ED3017-paired-2.fq.gz,MMP-D0A7EAC_1-ED3017,D0A7EAC_1,ED3017,,
Uchicago-L001-ED3017,Uchicago-L001-ED3017-paired-1.fq.gz,Uchicago-L001-ED3017-paired-2.fq.gz,Uchicago-L001-ED3017,L001,ED3017,,
BGI1-RET7-ED3040,BGI1-RET7-ED3040-paired-1.fq.gz,BGI1-RET7-ED3040-paired-2.fq.gz,BGI1-RET7-ED3040,RET7,ED3040,,
BGI2-RET7-ED3040,BGI2-RET7-ED3040-paired-1.fq.gz,BGI2-RET7-ED3040-paired-2.fq.gz,BGI2-RET7-ED3040,RET7,ED3040,,
BGI3-RET7a-ED3040,BGI3-RET7a-ED3040-paired-1.fq.gz,BGI3-RET7a-ED3040-paired-2.fq.gz,BGI3-RET7a-ED3040,RET7a,ED3040,,
MMP-7028LAB_5-ED3040,MMP-7028LAB_5-ED3040-paired-1.fq.gz,MMP-7028LAB_5-ED3040-paired-2.fq.gz,MMP-7028LAB_5-ED3040,7028LAB_5,ED3040,,
MMP-B00B7AB_3-ED3040,MMP-B00B7AB_3-ED3040-paired-1.fq.gz,MMP-B00B7AB_3-ED3040-paired-2.fq.gz,MMP-B00B7AB_3-ED3040,B00B7AB_3,ED3040,,
MMP-C02D1AC_1-ED3040,MMP-C02D1AC_1-ED3040-paired-1.fq.gz,MMP-C02D1AC_1-ED3040-paired-2.fq.gz,MMP-C02D1AC_1-ED3040,C02D1AC_1,ED3040,,
MMP-D09NFAC_4-ED3040,MMP-D09NFAC_4-ED3040-paired-1.fq.gz,MMP-D09NFAC_4-ED3040-paired-2.fq.gz,MMP-D09NFAC_4-ED3040,D09NFAC_4,ED3040,,
MMP-D0A7EAC_1-ED3040,MMP-D0A7EAC_1-ED3040-paired-1.fq.gz,MMP-D0A7EAC_1-ED3040-paired-2.fq.gz,MMP-D0A7EAC_1-ED3040,D0A7EAC_1,ED3040,,
BGI1-RET2-ED3046,BGI1-RET2-ED3046-paired-1.fq.gz,BGI1-RET2-ED3046-paired-2.fq.gz,BGI1-RET2-ED3046,RET2,ED3046,,
BGI2-RET2-ED3046,BGI2-RET2-ED3046-paired-1.fq.gz,BGI2-RET2-ED3046-paired-2.fq.gz,BGI2-RET2-ED3046,RET2,ED3046,,
BGI3-RET2b-ED3046,BGI3-RET2b-ED3046-paired-1.fq.gz,BGI3-RET2b-ED3046-paired-2.fq.gz,BGI3-RET2b-ED3046,RET2b,ED3046,,
Princeton-ECA35_c099uac-ED3046,Princeton-ECA35_c099uac-ED3046-paired-1.fq.gz,Princeton-ECA35_c099uac-ED3046-paired-2.fq.gz,Princeton-ECA35_c099uac-ED3046,ECA35_c099uac,ED3046,,
Princeton-ECA35_d0mbhac-ED3046,Princeton-ECA35_d0mbhac-ED3046-paired-1.fq.gz,Princeton-ECA35_d0mbhac-ED3046-paired-2.fq.gz,Princeton-ECA35_d0mbhac-ED3046,ECA35_d0mbhac,ED3046,,
BGI1-RET4-ED3048,BGI1-RET4-ED3048-paired-1.fq.gz,BGI1-RET4-ED3048-paired-2.fq.gz,BGI1-RET4-ED3048,RET4,ED3048,,
BGI2-RET4-ED3048,BGI2-RET4-ED3048-paired-1.fq.gz,BGI2-RET4-ED3048-paired-2.fq.gz,BGI2-RET4-ED3048,RET4,ED3048,,
BGI3-RET4a-ED3048,BGI3-RET4a-ED3048-paired-1.fq.gz,BGI3-RET4a-ED3048-paired-2.fq.gz,BGI3-RET4a-ED3048,RET4a,ED3048,,
MMP-7028LAB_5-ED3042,MMP-7028LAB_5-ED3042-paired-1.fq.gz,MMP-7028LAB_5-ED3042-paired-2.fq.gz,MMP-7028LAB_5-ED3042,7028LAB_5,ED3048,,
MMP-B00B7AB_3-ED3042,MMP-B00B7AB_3-ED3042-paired-1.fq.gz,MMP-B00B7AB_3-ED3042-paired-2.fq.gz,MMP-B00B7AB_3-ED3042,B00B7AB_3,ED3048,,
MMP-C02D1AC_1-ED3042,MMP-C02D1AC_1-ED3042-paired-1.fq.gz,MMP-C02D1AC_1-ED3042-paired-2.fq.gz,MMP-C02D1AC_1-ED3042,C02D1AC_1,ED3048,,
MMP-D09NFAC_4-ED3042,MMP-D09NFAC_4-ED3042-paired-1.fq.gz,MMP-D09NFAC_4-ED3042-paired-2.fq.gz,MMP-D09NFAC_4-ED3042,D09NFAC_4,ED3048,,
MMP-D0A7EAC_1-ED3042,MMP-D0A7EAC_1-ED3042-paired-1.fq.gz,MMP-D0A7EAC_1-ED3042-paired-2.fq.gz,MMP-D0A7EAC_1-ED3042,D0A7EAC_1,ED3048,,
BGI1-RET1-ED3049,BGI1-RET1-ED3049-paired-1.fq.gz,BGI1-RET1-ED3049-paired-2.fq.gz,BGI1-RET1-ED3049,RET1,ED3049,,
BGI2-RET1-ED3049,BGI2-RET1-ED3049-paired-1.fq.gz,BGI2-RET1-ED3049-paired-2.fq.gz,BGI2-RET1-ED3049,RET1,ED3049,,
BGI3-RET1b-ED3049,BGI3-RET1b-ED3049-paired-1.fq.gz,BGI3-RET1b-ED3049-paired-2.fq.gz,BGI3-RET1b-ED3049,RET1b,ED3049,,
MMP-7028LAB_5-ED3049,MMP-7028LAB_5-ED3049-paired-1.fq.gz,MMP-7028LAB_5-ED3049-paired-2.fq.gz,MMP-7028LAB_5-ED3049,7028LAB_5,ED3049,,
MMP-B00B7AB_3-ED3049,MMP-B00B7AB_3-ED3049-paired-1.fq.gz,MMP-B00B7AB_3-ED3049-paired-2.fq.gz,MMP-B00B7AB_3-ED3049,B00B7AB_3,ED3049,,
MMP-C02D1AC_1-ED3049,MMP-C02D1AC_1-ED3049-paired-1.fq.gz,MMP-C02D1AC_1-ED3049-paired-2.fq.gz,MMP-C02D1AC_1-ED3049,C02D1AC_1,ED3049,,
MMP-D09NFAC_4-ED3049,MMP-D09NFAC_4-ED3049-paired-1.fq.gz,MMP-D09NFAC_4-ED3049-paired-2.fq.gz,MMP-D09NFAC_4-ED3049,D09NFAC_4,ED3049,,
MMP-D0A7EAC_1-ED3049,MMP-D0A7EAC_1-ED3049-paired-1.fq.gz,MMP-D0A7EAC_1-ED3049-paired-2.fq.gz,MMP-D0A7EAC_1-ED3049,D0A7EAC_1,ED3049,,
Princeton-ECA36_c099uac-ED3049,Princeton-ECA36_c099uac-ED3049-paired-1.fq.gz,Princeton-ECA36_c099uac-ED3049-paired-2.fq.gz,Princeton-ECA36_c099uac-ED3049,ECA36_c099uac,ED3049,,
Princeton-ECA36_d0mbhac-ED3049,Princeton-ECA36_d0mbhac-ED3049-paired-1.fq.gz,Princeton-ECA36_d0mbhac-ED3049-paired-2.fq.gz,Princeton-ECA36_d0mbhac-ED3049,ECA36_d0mbhac,ED3049,,
BGI1-RET5-ED3052,BGI1-RET5-ED3052-paired-1.fq.gz,BGI1-RET5-ED3052-paired-2.fq.gz,BGI1-RET5-ED3052,RET5,ED3052,,
BGI2-RET5-ED3052,BGI2-RET5-ED3052-paired-1.fq.gz,BGI2-RET5-ED3052-paired-2.fq.gz,BGI2-RET5-ED3052,RET5,ED3052,,
BGI3-RET5b-ED3052,BGI3-RET5b-ED3052-paired-1.fq.gz,BGI3-RET5b-ED3052-paired-2.fq.gz,BGI3-RET5b-ED3052,RET5b,ED3052,,
MMP-7028LAB_5-ED3052,MMP-7028LAB_5-ED3052-paired-1.fq.gz,MMP-7028LAB_5-ED3052-paired-2.fq.gz,MMP-7028LAB_5-ED3052,7028LAB_5,ED3052,,
MMP-B00B7AB_3-ED3052,MMP-B00B7AB_3-ED3052-paired-1.fq.gz,MMP-B00B7AB_3-ED3052-paired-2.fq.gz,MMP-B00B7AB_3-ED3052,B00B7AB_3,ED3052,,
MMP-C02D1AC_1-ED3052,MMP-C02D1AC_1-ED3052-paired-1.fq.gz,MMP-C02D1AC_1-ED3052-paired-2.fq.gz,MMP-C02D1AC_1-ED3052,C02D1AC_1,ED3052,,
MMP-D09NFAC_4-ED3052,MMP-D09NFAC_4-ED3052-paired-1.fq.gz,MMP-D09NFAC_4-ED3052-paired-2.fq.gz,MMP-D09NFAC_4-ED3052,D09NFAC_4,ED3052,,
MMP-D0A7EAC_1-ED3052,MMP-D0A7EAC_1-ED3052-paired-1.fq.gz,MMP-D0A7EAC_1-ED3052-paired-2.fq.gz,MMP-D0A7EAC_1-ED3052,D0A7EAC_1,ED3052,,
BGI1-RET4-ED3073,BGI1-RET4-ED3073-paired-1.fq.gz,BGI1-RET4-ED3073-paired-2.fq.gz,BGI1-RET4-ED3073,RET4,ED3073,,
BGI2-RET4-ED3073,BGI2-RET4-ED3073-paired-1.fq.gz,BGI2-RET4-ED3073-paired-2.fq.gz,BGI2-RET4-ED3073,RET4,ED3073,,
BGI3-RET4a-ED3073,BGI3-RET4a-ED3073-paired-1.fq.gz,BGI3-RET4a-ED3073-paired-2.fq.gz,BGI3-RET4a-ED3073,RET4a,ED3073,,
MMP-7028LAB_5-ED3057,MMP-7028LAB_5-ED3057-paired-1.fq.gz,MMP-7028LAB_5-ED3057-paired-2.fq.gz,MMP-7028LAB_5-ED3057,7028LAB_5,ED3073,,
MMP-B00B7AB_3-ED3057,MMP-B00B7AB_3-ED3057-paired-1.fq.gz,MMP-B00B7AB_3-ED3057-paired-2.fq.gz,MMP-B00B7AB_3-ED3057,B00B7AB_3,ED3073,,
MMP-C02D1AC_1-ED3057,MMP-C02D1AC_1-ED3057-paired-1.fq.gz,MMP-C02D1AC_1-ED3057-paired-2.fq.gz,MMP-C02D1AC_1-ED3057,C02D1AC_1,ED3073,,
MMP-D09NFAC_4-ED3057,MMP-D09NFAC_4-ED3057-paired-1.fq.gz,MMP-D09NFAC_4-ED3057-paired-2.fq.gz,MMP-D09NFAC_4-ED3057,D09NFAC_4,ED3073,,
MMP-D0A7EAC_1-ED3057,MMP-D0A7EAC_1-ED3057-paired-1.fq.gz,MMP-D0A7EAC_1-ED3057-paired-2.fq.gz,MMP-D0A7EAC_1-ED3057,D0A7EAC_1,ED3073,,
MMP-7028LAB_5-ED3072,MMP-7028LAB_5-ED3072-paired-1.fq.gz,MMP-7028LAB_5-ED3072-paired-2.fq.gz,MMP-7028LAB_5-ED3072,7028LAB_5,ED3073,,
MMP-B00B7AB_3-ED3072,MMP-B00B7AB_3-ED3072-paired-1.fq.gz,MMP-B00B7AB_3-ED3072-paired-2.fq.gz,MMP-B00B7AB_3-ED3072,B00B7AB_3,ED3073,,
MMP-C02D1AC_1-ED3072,MMP-C02D1AC_1-ED3072-paired-1.fq.gz,MMP-C02D1AC_1-ED3072-paired-2.fq.gz,MMP-C02D1AC_1-ED3072,C02D1AC_1,ED3073,,
MMP-D09NFAC_4-ED3072,MMP-D09NFAC_4-ED3072-paired-1.fq.gz,MMP-D09NFAC_4-ED3072-paired-2.fq.gz,MMP-D09NFAC_4-ED3072,D09NFAC_4,ED3073,,
MMP-D0A7EAC_1-ED3072,MMP-D0A7EAC_1-ED3072-paired-1.fq.gz,MMP-D0A7EAC_1-ED3072-paired-2.fq.gz,MMP-D0A7EAC_1-ED3072,D0A7EAC_1,ED3073,,
BGI1-RET7-ED3077,BGI1-RET7-ED3077-paired-1.fq.gz,BGI1-RET7-ED3077-paired-2.fq.gz,BGI1-RET7-ED3077,RET7,ED3077,,
BGI2-RET7-ED3077,BGI2-RET7-ED3077-paired-1.fq.gz,BGI2-RET7-ED3077-paired-2.fq.gz,BGI2-RET7-ED3077,RET7,ED3077,,
BGI3-RET7a-ED3077,BGI3-RET7a-ED3077-paired-1.fq.gz,BGI3-RET7a-ED3077-paired-2.fq.gz,BGI3-RET7a-ED3077,RET7a,ED3077,,
BGI1-RET3-EG4347,BGI1-RET3-EG4347-paired-1.fq.gz,BGI1-RET3-EG4347-paired-2.fq.gz,BGI1-RET3-EG4347,RET3,EG4347,,
BGI2-RET3-EG4347,BGI2-RET3-EG4347-paired-1.fq.gz,BGI2-RET3-EG4347-paired-2.fq.gz,BGI2-RET3-EG4347,RET3,EG4347,,
BGI3-RET3a-EG4347,BGI3-RET3a-EG4347-paired-1.fq.gz,BGI3-RET3a-EG4347-paired-2.fq.gz,BGI3-RET3a-EG4347,RET3a,EG4347,,
Rockman096-R096.4-EG4347,Rockman096-R096.4-EG4347-paired-1.fq.gz,Rockman096-R096.4-EG4347-paired-2.fq.gz,Rockman096-R096.4-EG4347,R096.4,EG4347,,
BGI2-RET6-EG4349,BGI2-RET6-EG4349-paired-1.fq.gz,BGI2-RET6-EG4349-paired-2.fq.gz,BGI2-RET6-EG4349,RET6,EG4349,,
BGI3-RET6a-EG4349,BGI3-RET6a-EG4349-paired-1.fq.gz,BGI3-RET6a-EG4349-paired-2.fq.gz,BGI3-RET6a-EG4349,RET6a,EG4349,,
Rockman096-R096.2-EG4348,Rockman096-R096.2-EG4348-paired-1.fq.gz,Rockman096-R096.2-EG4348-paired-2.fq.gz,Rockman096-R096.2-EG4348,R096.2,EG4349,,
BGI1-RET5-EG4724,BGI1-RET5-EG4724-paired-1.fq.gz,BGI1-RET5-EG4724-paired-2.fq.gz,BGI1-RET5-EG4724,RET5,EG4724,,
BGI2-RET5-EG4724,BGI2-RET5-EG4724-paired-1.fq.gz,BGI2-RET5-EG4724-paired-2.fq.gz,BGI2-RET5-EG4724,RET5,EG4724,,
BGI3-RET5a-EG4724,BGI3-RET5a-EG4724-paired-1.fq.gz,BGI3-RET5a-EG4724-paired-2.fq.gz,BGI3-RET5a-EG4724,RET5a,EG4724,,
Princeton-ECA39_d0ncdac-EG4724,Princeton-ECA39_d0ncdac-EG4724-paired-1.fq.gz,Princeton-ECA39_d0ncdac-EG4724-paired-2.fq.gz,Princeton-ECA39_d0ncdac-EG4724,ECA39_d0ncdac,EG4724,,
Princeton-ECAmp_c0g61ac-EG4724,Princeton-ECAmp_c0g61ac-EG4724-paired-1.fq.gz,Princeton-ECAmp_c0g61ac-EG4724-paired-2.fq.gz,Princeton-ECAmp_c0g61ac-EG4724,ECAmp_c0g61ac,EG4724,,
BGI1-RET2-EG4725,BGI1-RET2-EG4725-paired-1.fq.gz,BGI1-RET2-EG4725-paired-2.fq.gz,BGI1-RET2-EG4725,RET2,EG4725,,
BGI2-RET2-EG4725,BGI2-RET2-EG4725-paired-1.fq.gz,BGI2-RET2-EG4725-paired-2.fq.gz,BGI2-RET2-EG4725,RET2,EG4725,,
BGI3-RET2a-EG4725,BGI3-RET2a-EG4725-paired-1.fq.gz,BGI3-RET2a-EG4725-paired-2.fq.gz,BGI3-RET2a-EG4725,RET2a,EG4725,,
Uchicago-L001-EG4725,Uchicago-L001-EG4725-paired-1.fq.gz,Uchicago-L001-EG4725-paired-2.fq.gz,Uchicago-L001-EG4725,L001,EG4725,,
Princeton-ECA39_d0ncdac-EG4725,Princeton-ECA39_d0ncdac-EG4725-paired-1.fq.gz,Princeton-ECA39_d0ncdac-EG4725-paired-2.fq.gz,Princeton-ECA39_d0ncdac-EG4725,ECA39_d0ncdac,EG4725,,
BGI1-RET7-EG4946,BGI1-RET7-EG4946-paired-1.fq.gz,BGI1-RET7-EG4946-paired-2.fq.gz,BGI1-RET7-EG4946,RET7,EG4946,,
BGI2-RET7-EG4946,BGI2-RET7-EG4946-paired-1.fq.gz,BGI2-RET7-EG4946-paired-2.fq.gz,BGI2-RET7-EG4946,RET7,EG4946,,
BGI3-RET7a-EG4946,BGI3-RET7a-EG4946-paired-1.fq.gz,BGI3-RET7a-EG4946-paired-2.fq.gz,BGI3-RET7a-EG4946,RET7a,EG4946,,
BGI1-RET6-GXW1,BGI1-RET6-GXW1-paired-1.fq.gz,BGI1-RET6-GXW1-paired-2.fq.gz,BGI1-RET6-GXW1,RET6,GXW1,,
BGI2-RET6-GXW1,BGI2-RET6-GXW1-paired-1.fq.gz,BGI2-RET6-GXW1-paired-2.fq.gz,BGI2-RET6-GXW1,RET6,GXW1,,
BGI3-RET6b-GXW1,BGI3-RET6b-GXW1-paired-1.fq.gz,BGI3-RET6b-GXW1-paired-2.fq.gz,BGI3-RET6b-GXW1,RET6b,GXW1,,
MMP-7028LAB_5-GXW1,MMP-7028LAB_5-GXW1-paired-1.fq.gz,MMP-7028LAB_5-GXW1-paired-2.fq.gz,MMP-7028LAB_5-GXW1,7028LAB_5,GXW1,,
MMP-B00B7AB_3-GXW1,MMP-B00B7AB_3-GXW1-paired-1.fq.gz,MMP-B00B7AB_3-GXW1-paired-2.fq.gz,MMP-B00B7AB_3-GXW1,B00B7AB_3,GXW1,,
MMP-C02D1AC_1-GXW1,MMP-C02D1AC_1-GXW1-paired-1.fq.gz,MMP-C02D1AC_1-GXW1-paired-2.fq.gz,MMP-C02D1AC_1-GXW1,C02D1AC_1,GXW1,,
MMP-D09NFAC_4-GXW1,MMP-D09NFAC_4-GXW1-paired-1.fq.gz,MMP-D09NFAC_4-GXW1-paired-2.fq.gz,MMP-D09NFAC_4-GXW1,D09NFAC_4,GXW1,,
MMP-D0A7EAC_1-GXW1,MMP-D0A7EAC_1-GXW1-paired-1.fq.gz,MMP-D0A7EAC_1-GXW1-paired-2.fq.gz,MMP-D0A7EAC_1-GXW1,D0A7EAC_1,GXW1,,
Princeton-ECA30_c02hkac-GXW1,Princeton-ECA30_c02hkac-GXW1-paired-1.fq.gz,Princeton-ECA30_c02hkac-GXW1-paired-2.fq.gz,Princeton-ECA30_c02hkac-GXW1,ECA30_c02hkac,GXW1,,
Princeton-ECA30_c03b2ab-GXW1,Princeton-ECA30_c03b2ab-GXW1-paired-1.fq.gz,Princeton-ECA30_c03b2ab-GXW1-paired-2.fq.gz,Princeton-ECA30_c03b2ab-GXW1,ECA30_c03b2ab,GXW1,,
BGI1-RET2-JT11398,BGI1-RET2-JT11398-paired-1.fq.gz,BGI1-RET2-JT11398-paired-2.fq.gz,BGI1-RET2-JT11398,RET2,JT11398,,
BGI2-RET2-JT11398,BGI2-RET2-JT11398-paired-1.fq.gz,BGI2-RET2-JT11398-paired-2.fq.gz,BGI2-RET2-JT11398,RET2,JT11398,,
BGI3-RET2a-JT11398,BGI3-RET2a-JT11398-paired-1.fq.gz,BGI3-RET2a-JT11398-paired-2.fq.gz,BGI3-RET2a-JT11398,RET2a,JT11398,,
Uchicago-L002-JT11398,Uchicago-L002-JT11398-paired-1.fq.gz,Uchicago-L002-JT11398-paired-2.fq.gz,Uchicago-L002-JT11398,L002,JT11398,,
BGI1-RET3-JU1088,BGI1-RET3-JU1088-paired-1.fq.gz,BGI1-RET3-JU1088-paired-2.fq.gz,BGI1-RET3-JU1088,RET3,JU1088,,
BGI2-RET3-JU1088,BGI2-RET3-JU1088-paired-1.fq.gz,BGI2-RET3-JU1088-paired-2.fq.gz,BGI2-RET3-JU1088,RET3,JU1088,,
BGI3-RET3b-JU1088,BGI3-RET3b-JU1088-paired-1.fq.gz,BGI3-RET3b-JU1088-paired-2.fq.gz,BGI3-RET3b-JU1088,RET3b,JU1088,,
MMP-7028LAB_5-JU1088,MMP-7028LAB_5-JU1088-paired-1.fq.gz,MMP-7028LAB_5-JU1088-paired-2.fq.gz,MMP-7028LAB_5-JU1088,7028LAB_5,JU1088,,
MMP-B00B7AB_3-JU1088,MMP-B00B7AB_3-JU1088-paired-1.fq.gz,MMP-B00B7AB_3-JU1088-paired-2.fq.gz,MMP-B00B7AB_3-JU1088,B00B7AB_3,JU1088,,
MMP-C02D1AC_1-JU1088,MMP-C02D1AC_1-JU1088-paired-1.fq.gz,MMP-C02D1AC_1-JU1088-paired-2.fq.gz,MMP-C02D1AC_1-JU1088,C02D1AC_1,JU1088,,
MMP-D09NFAC_4-JU1088,MMP-D09NFAC_4-JU1088-paired-1.fq.gz,MMP-D09NFAC_4-JU1088-paired-2.fq.gz,MMP-D09NFAC_4-JU1088,D09NFAC_4,JU1088,,
MMP-D0A7EAC_1-JU1088,MMP-D0A7EAC_1-JU1088-paired-1.fq.gz,MMP-D0A7EAC_1-JU1088-paired-2.fq.gz,MMP-D0A7EAC_1-JU1088,D0A7EAC_1,JU1088,,
Rockman096-R096.4-JU1088,Rockman096-R096.4-JU1088-paired-1.fq.gz,Rockman096-R096.4-JU1088-paired-2.fq.gz,Rockman096-R096.4-JU1088,R096.4,JU1088,,
BGI1-RET4-JU1172,BGI1-RET4-JU1172-paired-1.fq.gz,BGI1-RET4-JU1172-paired-2.fq.gz,BGI1-RET4-JU1172,RET4,JU1172,,
BGI2-RET4-JU1172,BGI2-RET4-JU1172-paired-1.fq.gz,BGI2-RET4-JU1172-paired-2.fq.gz,BGI2-RET4-JU1172,RET4,JU1172,,
BGI3-RET4b-JU1172,BGI3-RET4b-JU1172-paired-1.fq.gz,BGI3-RET4b-JU1172-paired-2.fq.gz,BGI3-RET4b-JU1172,RET4b,JU1172,,
BGI1-RET2-JU1200,BGI1-RET2-JU1200-paired-1.fq.gz,BGI1-RET2-JU1200-paired-2.fq.gz,BGI1-RET2-JU1200,RET2,JU1200,,
BGI2-RET2-JU1200,BGI2-RET2-JU1200-paired-1.fq.gz,BGI2-RET2-JU1200-paired-2.fq.gz,BGI2-RET2-JU1200,RET2,JU1200,,
BGI3-RET2a-JU1200,BGI3-RET2a-JU1200-paired-1.fq.gz,BGI3-RET2a-JU1200-paired-2.fq.gz,BGI3-RET2a-JU1200,RET2a,JU1200,,
Princeton-ECA40_d0ncdac-JU1200,Princeton-ECA40_d0ncdac-JU1200-paired-1.fq.gz,Princeton-ECA40_d0ncdac-JU1200-paired-2.fq.gz,Princeton-ECA40_d0ncdac-JU1200,ECA40_d0ncdac,JU1200,,
Princeton-ECAmp_c0g61ac-JU1200,Princeton-ECAmp_c0g61ac-JU1200-paired-1.fq.gz,Princeton-ECAmp_c0g61ac-JU1200-paired-2.fq.gz,Princeton-ECAmp_c0g61ac-JU1200,ECAmp_c0g61ac,JU1200,,
BGI1-RET6-JU1212,BGI1-RET6-JU1212-paired-1.fq.gz,BGI1-RET6-JU1212-paired-2.fq.gz,BGI1-RET6-JU1212,RET6,JU1212,,
BGI2-RET6-JU1212,BGI2-RET6-JU1212-paired-1.fq.gz,BGI2-RET6-JU1212-paired-2.fq.gz,BGI2-RET6-JU1212,RET6,JU1212,,
BGI3-RET6a-JU1212,BGI3-RET6a-JU1212-paired-1.fq.gz,BGI3-RET6a-JU1212-paired-2.fq.gz,BGI3-RET6a-JU1212,RET6a,JU1212,,
BGI1-RET5-JU1213,BGI1-RET5-JU1213-paired-1.fq.gz,BGI1-RET5-JU1213-paired-2.fq.gz,BGI1-RET5-JU1213,RET5,JU1213,,
BGI2-RET5-JU1213,BGI2-RET5-JU1213-paired-1.fq.gz,BGI2-RET5-JU1213-paired-2.fq.gz,BGI2-RET5-JU1213,RET5,JU1213,,
BGI3-RET5a-JU1213,BGI3-RET5a-JU1213-paired-1.fq.gz,BGI3-RET5a-JU1213-paired-2.fq.gz,BGI3-RET5a-JU1213,RET5a,JU1213,,
MMP-7028LAB_5-JU533,MMP-7028LAB_5-JU533-paired-1.fq.gz,MMP-7028LAB_5-JU533-paired-2.fq.gz,MMP-7028LAB_5-JU533,7028LAB_5,JU1213,,
MMP-B00B7AB_3-JU533,MMP-B00B7AB_3-JU533-paired-1.fq.gz,MMP-B00B7AB_3-JU533-paired-2.fq.gz,MMP-B00B7AB_3-JU533,B00B7AB_3,JU1213,,
MMP-C02D1AC_1-JU533,MMP-C02D1AC_1-JU533-paired-1.fq.gz,MMP-C02D1AC_1-JU533-paired-2.fq.gz,MMP-C02D1AC_1-JU533,C02D1AC_1,JU1213,,
MMP-D09NFAC_4-JU533,MMP-D09NFAC_4-JU533-paired-1.fq.gz,MMP-D09NFAC_4-JU533-paired-2.fq.gz,MMP-D09NFAC_4-JU533,D09NFAC_4,JU1213,,
MMP-D0A7EAC_1-JU533,MMP-D0A7EAC_1-JU533-paired-1.fq.gz,MMP-D0A7EAC_1-JU533-paired-2.fq.gz,MMP-D0A7EAC_1-JU533,D0A7EAC_1,JU1213,,
BGI1-RET4-JU1242,BGI1-RET4-JU1242-paired-1.fq.gz,BGI1-RET4-JU1242-paired-2.fq.gz,BGI1-RET4-JU1242,RET4,JU1242,,
BGI2-RET4-JU1242,BGI2-RET4-JU1242-paired-1.fq.gz,BGI2-RET4-JU1242-paired-2.fq.gz,BGI2-RET4-JU1242,RET4,JU1242,,
BGI3-RET4b-JU1242,BGI3-RET4b-JU1242-paired-1.fq.gz,BGI3-RET4b-JU1242-paired-2.fq.gz,BGI3-RET4b-JU1242,RET4b,JU1242,,
BGI1-RET3-JU1246,BGI1-RET3-JU1246-paired-1.fq.gz,BGI1-RET3-JU1246-paired-2.fq.gz,BGI1-RET3-JU1246,RET3,JU1246,,
BGI2-RET3-JU1246,BGI2-RET3-JU1246-paired-1.fq.gz,BGI2-RET3-JU1246-paired-2.fq.gz,BGI2-RET3-JU1246,RET3,JU1246,,
BGI3-RET3b-JU1246,BGI3-RET3b-JU1246-paired-1.fq.gz,BGI3-RET3b-JU1246-paired-2.fq.gz,BGI3-RET3b-JU1246,RET3b,JU1246,,
BGI2-RET6-JU1395,BGI2-RET6-JU1395-paired-1.fq.gz,BGI2-RET6-JU1395-paired-2.fq.gz,BGI2-RET6-JU1395,RET6,JU1395,,
BGI3-RET6a-JU1395,BGI3-RET6a-JU1395-paired-1.fq.gz,BGI3-RET6a-JU1395-paired-2.fq.gz,BGI3-RET6a-JU1395,RET6a,JU1395,,
BGI1-RET4-JU1400,BGI1-RET4-JU1400-paired-1.fq.gz,BGI1-RET4-JU1400-paired-2.fq.gz,BGI1-RET4-JU1400,RET4,JU1400,,
BGI2-RET4-JU1400,BGI2-RET4-JU1400-paired-1.fq.gz,BGI2-RET4-JU1400-paired-2.fq.gz,BGI2-RET4-JU1400,RET4,JU1400,,
BGI3-RET4a-JU1400,BGI3-RET4a-JU1400-paired-1.fq.gz,BGI3-RET4a-JU1400-paired-2.fq.gz,BGI3-RET4a-JU1400,RET4a,JU1400,,
MMP-7028LAB_5-JU1400,MMP-7028LAB_5-JU1400-paired-1.fq.gz,MMP-7028LAB_5-JU1400-paired-2.fq.gz,MMP-7028LAB_5-JU1400,7028LAB_5,JU1400,,
MMP-B00B7AB_3-JU1400,MMP-B00B7AB_3-JU1400-paired-1.fq.gz,MMP-B00B7AB_3-JU1400-paired-2.fq.gz,MMP-B00B7AB_3-JU1400,B00B7AB_3,JU1400,,
MMP-C02D1AC_1-JU1400,MMP-C02D1AC_1-JU1400-paired-1.fq.gz,MMP-C02D1AC_1-JU1400-paired-2.fq.gz,MMP-C02D1AC_1-JU1400,C02D1AC_1,JU1400,,
MMP-D09NFAC_4-JU1400,MMP-D09NFAC_4-JU1400-paired-1.fq.gz,MMP-D09NFAC_4-JU1400-paired-2.fq.gz,MMP-D09NFAC_4-JU1400,D09NFAC_4,JU1400,,
MMP-D0A7EAC_1-JU1400,MMP-D0A7EAC_1-JU1400-paired-1.fq.gz,MMP-D0A7EAC_1-JU1400-paired-2.fq.gz,MMP-D0A7EAC_1-JU1400,D0A7EAC_1,JU1400,,
BGI1-RET5-JU1409,BGI1-RET5-JU1409-paired-1.fq.gz,BGI1-RET5-JU1409-paired-2.fq.gz,BGI1-RET5-JU1409,RET5,JU1409,,
BGI2-RET5-JU1409,BGI2-RET5-JU1409-paired-1.fq.gz,BGI2-RET5-JU1409-paired-2.fq.gz,BGI2-RET5-JU1409,RET5,JU1409,,
BGI3-RET5a-JU1409,BGI3-RET5a-JU1409-paired-1.fq.gz,BGI3-RET5a-JU1409-paired-2.fq.gz,BGI3-RET5a-JU1409,RET5a,JU1409,,
