isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU505,compost heap
Marie-Anne Felix,Rural garden,43.05,0.23,"Marsas, France",Caenorhabditis briggsae,JU516,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU526,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU527,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU528,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU529,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU530,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU531,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU532,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU533,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU534,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU535,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU536,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU537,compost heap
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU538,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU539,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU540,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU541,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU542,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU543,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU544,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU545,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU546,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU547,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU548,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU549,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU550,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU551,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU552,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU553,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU554,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU555,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU556,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU557,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU558,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU559,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU560,"live arthropod, Oniscus asellus"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Sainte-Barbe, France",Caenorhabditis elegans,JU561,"live arthropod, isopod"
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU562,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU563,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU564,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU565,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU566,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU567,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU568,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU569,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU570,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU571,compost heap
Marie-Anne Felix,Rural garden,48.7069,-3.8037,"Sainte-Barbe, France",Caenorhabditis elegans,JU572,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU573,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU574,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU575,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU576,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU577,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU578,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU579,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU580,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU581,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU582,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU583,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU584,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU585,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU586,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU587,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU588,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU589,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU590,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU591,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU592,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU593,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU594,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU595,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU596,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU597,"live mollusk, Helix aspersa"
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU598,"live mollusk, Helix aspersa"
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU599,"live mollusk, Helix aspersa"
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU600,"live mollusk, Helix aspersa"
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis elegans,JU622,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU623,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU624,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU625,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU626,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU627,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU628,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU629,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU630,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU631,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU632,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU633,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU634,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU635,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU636,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU637,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU638,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU639,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU640,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU641,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU642,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU643,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU644,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU649,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU650,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU651,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU652,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU653,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU654,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU655,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU656,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU657,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU658,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU659,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU660,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU661,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU662,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU663,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU664,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU665,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU666,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU667,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU668,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU669,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU670,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU671,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU672,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU691,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU692,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU693,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU694,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU695,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU696,compost heap
Marie-Anne Felix,Agricultural land,31.22,120.94,"Zhouzhuang, China",Caenorhabditis remanei,JU724,soil
Marie-Anne Felix,Agricultural land,24.75,110.5,"Yangshuo, China",Caenorhabditis briggsae,JU725,compost heap
Marie-Anne Felix,Agricultural land,25.902,109.644,"Chengyang, China",Caenorhabditis briggsae,JU726,soil
Marie-Anne Felix,Rural garden,25.902,109.64,"Chengyang, China",Caenorhabditis species,JU727,soil
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU739,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU740,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU741,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU742,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU743,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU744,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU745,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU746,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU747,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU748,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU749,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU750,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU751,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU752,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU753,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU754,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU755,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU756,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU757,compost heap
Marie-Anne Felix,Urban garden,38.683,-9.34,"Carcavelos, Portugal",Caenorhabditis elegans,JU774,compost heap
Marie-Anne Felix,Botanical garden zoo,38.7175,-9.1486,"Lisbon, Portugal",Caenorhabditis elegans,JU775,rotting fruit
Marie-Anne Felix,Botanical garden zoo,38.7175,-9.1486,"Lisbon, Portugal",Caenorhabditis elegans,JU776,rotting fruit
Marie-Anne Felix,Botanical garden zoo,38.7175,-9.1486,"Lisbon, Portugal",Caenorhabditis elegans,JU777,rotting fruit
Marie-Anne Felix,Botanical garden zoo,38.719,-9.1491,"Lisbon, Portugal",Caenorhabditis elegans,JU778,"rotting fruit, Ficus isophlebia"
Marie-Anne Felix,Botanical garden zoo,38.719,-9.1491,"Lisbon, Portugal",Caenorhabditis elegans,JU779,"rotting fruit, Ficus isophlebia"
Marie-Anne Felix,Botanical garden zoo,38.719,-9.1491,"Lisbon, Portugal",Caenorhabditis elegans,JU780,"rotting fruit, Ficus isophlebia"
Marie-Anne Felix,Botanical garden zoo,38.719,-9.1491,"Lisbon, Portugal",Caenorhabditis elegans,JU781,"rotting fruit, Ficus isophlebia"
Marie-Anne Felix,Botanical garden zoo,38.7191,-9.1503,"Lisbon, Portugal",Caenorhabditis elegans,JU782,compost heap
Marie-Anne Felix,Botanical garden zoo,38.7191,-9.1503,"Lisbon, Portugal",Caenorhabditis elegans,JU783,compost heap
Marie-Anne Felix,Botanical garden zoo,38.7191,-9.1503,"Lisbon, Portugal",Caenorhabditis elegans,JU784,compost heap
Marie-Anne Felix,Botanical garden zoo,38.7191,-9.1503,"Lisbon, Portugal",Caenorhabditis elegans,JU785,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis elegans,JU792,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis briggsae,JU793,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis briggsae,JU794,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis briggsae,JU795,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis briggsae,JU796,compost heap
Marie-Anne Felix,Rural garden,43.06,0.24,"Frechendets, France",Caenorhabditis briggsae,JU797,compost heap
Marie-Anne Felix,Botanical garden zoo,38.7175,-9.1486,"Lisbon, Portugal",Caenorhabditis elegans,JU799,rotting fruit
NA,,,,,Caenorhabditis species,JU800,
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU801,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU804,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU805,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU806,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU807,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU808,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU809,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU810,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU811,compost heap
Antoine Barriere,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU812,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU813,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU814,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU815,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU816,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU817,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU818,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU819,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU820,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU821,compost heap
Antoine Barriere,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU822,compost heap
Marie-Anne Felix,Agricultural land,48.4602,7.47012,"Obernai, France",Caenorhabditis remanei,JU825,"rotting fruit, apple"
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU829,compost heap
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU830,compost heap
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU831,compost heap
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU832,compost heap
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU833,compost heap
Marie-Anne Felix,Urban garden,48.52,9.05,"Tuebingen, Germany",Caenorhabditis elegans,JU834,compost heap
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU835,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU836,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU837,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU838,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU839,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU840,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU841,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU842,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU843,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU844,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU845,mix
Marie-Anne Felix,Agricultural land,48.4594,7.47011,"Obernai, France",Caenorhabditis briggsae,JU846,mix
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU847,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU848,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU849,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU850,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU851,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU852,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU853,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU854,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU855,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU856,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU857,compost heap
Marie-Anne Felix,Agricultural land,48.46,7.461,"Obernai, France",Caenorhabditis elegans,JU858,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1026,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1027,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1028,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1029,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1030,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1031,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1032,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1033,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1034,"rotting fruit, plum"
